,검사일시,생산라인,온도,진동,회전수,압력
0,2026-08-24 19:00,B라인,0.6175452096960372,0.45454545454545464,0.5342783027607931,0.36778846153846156
1,2026-08-25 02:00,A라인,0.062331666025394535,0.07272727272727278,0.018837625841516614,0.004807692307692311
2,2026-08-25 09:00,A라인,0.11158137745286667,0.12000000000000001,0.013495151627447716,0.09134615384615381
3,2026-08-25 07:00,C라인,0.8834166987302808,0.9927272727272726,0.9410166141683655,0.7163461538461537
4,2026-08-25 12:00,A라인,0.11427472104655684,0.07272727272727278,0.005280711506392553,0.02163461538461535
5,2026-08-26 14:00,C라인,0.9134282416313967,0.9345454545454543,0.9781360014823052,0.7163461538461537
6,2026-08-26 05:00,C라인,0.9730665640631011,0.9381818181818182,0.975541967759867,0.9831730769230769
7,2026-08-24 08:00,C라인,0.9145825317429781,0.8945454545454545,0.9265332592180843,0.6802884615384616
8,2026-08-26 11:00,A라인,0.06617929973066612,0.0036363636363637196,0.023747761101846877,0.014423076923076936
9,2026-08-25 00:00,B라인,0.504040015390535,0.56,0.5318386758075476,0.4591346153846154
10,2026-08-25 17:00,C라인,0.9180454020777219,0.9490909090909089,0.9881106787721576,0.6947115384615383
11,2026-08-25 21:00,A라인,0.09734513274336284,0.1272727272727273,0.05033660675684009,0.03846153846153849
12,2026-08-24 23:00,A라인,0.09080415544440164,0.0,0.03730467543697094,0.004807692307692311
13,2026-08-26 05:00,A라인,0.016160061562139345,0.05454545454545467,0.012074609350874198,0.031249999999999972
14,2026-08-26 16:00,C라인,0.9476721816083109,0.8727272727272726,0.9734111543450068,0.7067307692307693
15,2026-08-24 14:00,B라인,0.595228934205464,0.5236363636363636,0.5128775245506761,0.36298076923076916
16,2026-08-24 17:00,C라인,0.8849557522123891,0.9236363636363637,0.9818726452967701,0.6778846153846154
17,2026-08-26 13:00,A라인,0.044632550981147,0.09818181818181818,0.05243653881786184,0.031249999999999972
18,2026-08-24 19:00,A라인,0.07156598691804536,0.08363636363636362,0.0018528812303128565,0.014423076923076936
19,2026-08-25 20:00,C라인,0.996921893035783,0.8981818181818181,0.9427768513371627,0.40625000000000006
20,2026-08-26 02:00,A라인,0.5362792507607819,0.03636363636363639,0.05546291149404002,0.040865384615384595
21,2026-08-26 00:00,C라인,0.944594074644094,0.8763636363636365,0.9918782039404611,0.6778846153846154
22,2026-08-25 08:00,A라인,0.049634474797999456,0.09454545454545461,0.05969365696992135,0.057692307692307744
23,2026-08-25 06:00,B라인,0.5763755290496344,0.5454545454545455,0.4709715273917609,0.38701923076923084
24,2026-08-25 05:00,A라인,0.5362792507607819,0.007272727272727278,0.015564202334630241,0.019230769230769246
25,2026-08-25 10:00,A라인,0.06387071950750328,0.12000000000000001,0.05648199617071202,0.07932692307692309
26,2026-08-24 19:00,C라인,0.8918814928818776,0.9818181818181816,0.9763448829596694,0.7307692307692307
27,2026-08-25 20:00,A라인,0.08426317814544099,0.130909090909091,0.002995491322339656,0.09855769230769233
28,2026-08-25 13:00,A라인,0.08387841477491366,0.010909090909090998,0.04644555617318253,0.05048076923076922
29,2026-08-26 09:00,B라인,0.5252020007695267,0.4654545454545453,0.47983447594342576,0.39423076923076916
30,2026-08-25 19:00,A라인,0.6825702193151213,0.021818181818181834,0.03640911617565303,0.0024038461538461024
31,2026-08-25 19:00,B라인,0.5163524432474027,0.49090909090909085,0.5197331851028348,0.40384615384615374
32,2026-08-24 14:00,B라인,0.5940746440938826,0.5236363636363636,0.5128775245506761,0.36778846153846156
33,2026-08-24 21:00,C라인,0.9884570988841863,0.9345454545454543,0.9603792230251377,0.7451923076923076
34,2026-08-24 06:00,B라인,0.5867641400538667,0.5090909090909089,0.5003088135383856,0.43269230769230765
35,2026-08-26 09:00,A라인,0.047710657945363937,0.061818181818181946,0.04567352232721872,0.07211538461538457
36,2026-08-24 21:00,A라인,0.08080030781069672,0.11272727272727273,0.0469087764807611,0.045673076923076907
37,2026-08-24 12:00,A라인,0.11889188149288196,0.061818181818181946,0.060898029769625196,0.09615384615384624
38,2026-08-25 13:00,C라인,0.5362792507607819,0.9236363636363637,0.959792477302205,0.6778846153846154
39,2026-08-24 13:00,C라인,0.9522893420546361,0.9163636363636363,0.9291890556482001,0.7572115384615385
40,2026-08-24 23:00,B라인,0.4990380915736825,0.4872727272727273,0.5364399975294919,0.3774038461538462
41,2026-08-24 16:00,C라인,0.9699884570988841,0.9818181818181816,0.9637452905935396,0.7331730769230769
42,2026-08-26 01:00,B라인,0.5255867641400541,0.5090909090909089,0.5256006423321601,0.40625000000000006
43,2026-08-26 16:00,B라인,0.6202385532897268,0.4581818181818182,0.5323636588228032,0.4278846153846154
44,2026-08-24 10:00,A라인,0.058868795690650275,0.0654545454545455,0.007040948675189837,0.02644230769230766
45,2026-08-25 11:00,B라인,0.5171219699884574,0.4727272727272728,0.4899944413563094,0.4615384615384615
46,2026-08-25 10:00,C라인,0.9884570988841863,0.9636363636363634,0.9815638317583842,0.7716346153846153
47,2026-08-24 13:00,B라인,0.5371296652558678,0.4363636363636362,0.5317151503921935,0.3798076923076923
48,2026-08-25 14:00,C라인,0.9796075413620623,0.9345454545454543,0.9752640355753196,0.7548076923076922
49,2026-08-24 09:00,A라인,0.023470565602154644,0.5007211782630777,0.034803285776048375,0.07932692307692309
